Issue Type,Issue ID,Parent ID,Epic Link,Epic Name,Parent Link,Parent,Summary,Component/s,Priority,Story Points,Labels,Labels,Labels,Description,Acceptance Criteria
Feature,1,,,,,,Client Self-Service Portal,Client Portal,Highest,,customer-app,self-service,react,"The Vanguard client web application: a responsive single-page portal where retail investors view accounts, holdings, and transactions; research the fund lineup; manage beneficiaries, automatic investing, RMDs, and tax documents; open new accounts; and read education content - all without calling in. This is the surface every other capability plugs into (the chat assistant, autopilot task fulfillment, and fund data all render here).

Value: deflects routine call volume, lets investors self-serve 24/7, and raises satisfaction by making the most common account actions doable in a few clicks.

=== ARCHITECTURE & STACK ===
This is the customer SPA (one of two React apps). Stack: React 18 + Vite + TypeScript, Zustand for
state, React Router v6 (BrowserRouter, basename = import.meta.env.BASE_URL). Built as a static bundle
deployed to the web root (GitHub Pages or S3+CloudFront).
State: clientStore (Zustand) loads the whole client profile once via fetchAll() and exposes selectors;
chatStore owns chat UI state. Components read stores and call the API; they hold no business logic.
Data path: ALL reads/writes go browser -> API Gateway (HTTP API) -> client-data Lambda -> DynamoDB
Clients table (PK clientId). Never call DynamoDB from the browser.
Shell: an AccessGate wraps the router; a ScrollToTop listener resets scroll on route change; theme
tokens live in one module; the build SHA is stamped on window for prod verification.
Demo data: seed/reset per environment via GET /reset-client-data?key=...","Definition of done:
- Every route below is reachable from the global navigation and renders live account data.
- The app is gated behind an access check and is usable on desktop and mobile widths.
- No page shows placeholder/mock data where a real DynamoDB-backed value exists."
Epic,2,,,"Portal Shell, Navigation & Access Gating",1,1,"Portal Shell, Navigation & Access Gating",Client Portal,Highest,,customer-app,react,,"The application frame that hosts every page: global top navigation, client-side routing, the access gate that protects the demo, scroll-to-top on navigation, web-font loading, and the build-SHA stamp used to confirm exactly what is deployed.

Value: a consistent, fast, secure shell is the precondition for every other portal capability.

=== TECHNICAL SCOPE ===
Components: AccessGate, a top-nav component, a ScrollToTop route listener, a theme-tokens module.
AccessGate compares the entered code to a build-time env var (VITE_DEMO_CODE); on success it writes a
localStorage flag and renders children; the flag short-circuits the gate on return visits.
Build stamp: set window.__BUILD__ and console.log(""build "" + sha); inject the commit SHA via a Vite
define at build time (CI passes it from the workflow context).","Definition of done:
- All routes are registered and 404s are handled gracefully.
- The access gate blocks unauthenticated access and remembers a valid entry per browser.
- window.__BUILD__ reflects the deployed commit SHA."
Story,3,,"Portal Shell, Navigation & Access Gating",,,2,Gate portal access behind an access code,Client Portal,High,3,customer-app,security,,"As a platform owner, I want the client portal to require a valid access code before any page renders, so that only authorized people can reach the demo environment and we can detect first-time sign-ins.

On a correct code the gate persists a flag in localStorage so the prompt is not shown again on that browser; on a fresh/cleared browser a correct code fires a one-time client-log signin event.

=== TECHNICAL DESIGN ===
Implement AccessGate as a wrapper around <Routes>. Read VITE_DEMO_CODE at build time. State: an
""unlocked"" boolean seeded from localStorage (e.g. key portal_access). On submit compare; on match set
localStorage + state; on miss show an inline error and keep the gate. Store only an opaque flag, never
the code itself.
Signin beacon: only when the flag was NOT already set (first unlock on this browser) AND only in PROD
(guard on import.meta.env), fire-and-forget POST /client-log {context:""access-code-entered""} using
fetch keepalive so it never blocks render.","Scenario: First visit requires the code
  Given I have never entered the access code on this browser
  When I open any portal URL
  Then I am shown the access gate and no portal content is rendered

Scenario: Correct code unlocks and is remembered
  Given I am on the access gate
  When I enter the correct access code
  Then the portal renders and I am not prompted again on this browser

Scenario: Incorrect code is rejected
  Given I am on the access gate
  When I enter an incorrect code
  Then I remain on the gate with an error and no content is exposed"
Sub-task,4,3,,,,3,Implement AccessGate component with localStorage flag,Client Portal,,,,,,Wrap the router in an access gate; persist an access flag in localStorage on success so the prompt is shown once per browser.,
Sub-task,5,3,,,,3,Fire one-time access-code-entered client-log event on fresh unlock,Client Portal,,,,,,"PROD-only fire-and-forget POST /client-log {context:""access-code-entered""} when the flag was not already set.",
Story,6,,"Portal Shell, Navigation & Access Gating",,,2,Provide global top navigation across the portal,Client Portal,High,3,customer-app,ux,,"As an investor, I want a persistent top navigation bar with links to Home, Portfolio, Research, Account, and the help/resources areas, so that I can move between portal areas from anywhere without using the browser back button.

=== TECHNICAL DESIGN ===
One top-nav component rendered above <Routes>; use NavLink for active styling. Drive links from a small
declarative config array (Home, Portfolio, Research, Account, Resources/Help). Collapse to a menu under
a mobile breakpoint.","Scenario: Navigation is always available
  Given I am on any portal page
  Then the top navigation is visible and links to the major areas
  And the current section is visually indicated"
Story,7,,"Portal Shell, Navigation & Access Gating",,,2,Reset scroll position and load fonts/branding on navigation,Client Portal,,2,customer-app,ux,,"As an investor, I want each page to open scrolled to the top with consistent Vanguard typography, so that navigating feels like a fresh page rather than a mid-scroll jump.

=== TECHNICAL DESIGN ===
ScrollToTop: a component using useLocation + useEffect to window.scrollTo(0,0) on pathname change. Load
web fonts via a <link> injected in an effect (or in index.html). Keep theme tokens centralized.","Scenario: New route starts at the top
  Given I am scrolled down on one page
  When I navigate to a different route
  Then the new page is scrolled to the top"
Story,8,,"Portal Shell, Navigation & Access Gating",,,2,Stamp the deployed build SHA into the app,Client Portal,,1,customer-app,infra,,"As an engineer, I want the running app to log its build commit and expose it on window.__BUILD__, so that I can confirm exactly which commit is live in prod without guessing.

=== TECHNICAL DESIGN ===
Inject the git SHA via a Vite define (e.g. __BUILD_SHA__) at build time; at startup set window.__BUILD__
and console.log it. CI provides the SHA from the workflow context (e.g. github.sha).","Scenario: Build SHA is observable
  Given the app has loaded
  When I open the browser console
  Then it logs ""build <sha>"" and window.__BUILD__ equals that SHA"
Epic,9,,,Account Overview & Detail,1,1,Account Overview & Detail,Client Portal,Highest,,customer-app,self-service,,"The account hub and per-account detail pages: every account the investor holds (Roth IRA, Traditional IRA, SEP-IRA, Taxable), each balance and day change, and the holdings within each account. Detail pages link out to the self-service actions (beneficiaries, auto-invest, RMD, etc.).

Value: a single, trustworthy view of ""what do I have and what is it worth"" is the most-visited reason investors log in.

=== TECHNICAL SCOPE ===
Pages: Account hub (/account) and Account detail (/account/detail/:accountId). Data from clientStore
(accounts[], holdings[], totalBalance). Reuse a shared AccountCard + HoldingsTable. Detail filters
holdings + recent transactions by accountId and shows type-specific action links.
Shapes: account {type,balance,id,change}; holding {name,ticker,accountId,shares,price,change,value,drip?}.","Definition of done:
- The account hub lists every account with type, balance, and day change from live data.
- Each account detail page shows that account's holdings and recent transactions.
- Deep links to beneficiaries/auto-invest/RMD/tax-docs are present where applicable."
Story,10,,Account Overview & Detail,,,9,View all accounts on an account hub,Client Portal,High,3,customer-app,,,"As an investor, I want a hub page listing every account I hold with its type, balance, and day change, so that I get a complete picture of my relationship in one place.

=== TECHNICAL DESIGN ===
Map clientStore.accounts to AccountCards; verify the displayed total equals the sum of balances;
right-align currency per the table rules; link each card to /account/detail/:id.","Scenario: Accounts are listed from live data
  Given I am a signed-in investor with multiple accounts
  When I open the Account page
  Then I see each account with its type, current balance, and day change
  And the totals reconcile with my portfolio total balance"
